00001,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00001UP,NBQ,NBQ,GLPT,EXP,NFR,false,"(t,t,t,t,t,t,t)",3,0,0,0,0,0,0,0,0
00002,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00003,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00004,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00005,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00006,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00007,RATLAM,RTM,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00008,NAGDA,NAD,RTM,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00009,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00010,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00011,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00012,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00013,RATLAM,RTM,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00014,NAGDA,NAD,RTM,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00015,RATLAM,RTM,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00016,NAGDA,NAD,RTM,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00017,RATLAM,RTM,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00018,NAGDA,NAD,RTM,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00019,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00020,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00021,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00022,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00023,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00024,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00025,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00026,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00027,RATLAM,RTM,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00028,NAGDA,NAD,RTM,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00029,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00030,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00031,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00032,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00033,NAGDA,NAD,UJN,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00034,UJJAIN,UJN,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
00035,RATLAM,RTM,NAD,MEMU,WR,false,"(t,t,t,t,t,t,t)",1,0,0,0,0,0,0,0,0
